Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,ID,EVConnectorTypes,Country,Access Code,Access Detail Code,Facility Type,EV Pricing
Clackamas County Sheriff's Office - Brooks Building,9101 SE Sunnybrook Blvd,Clackamas,OR,97015,503-785-5000,Public,8am-5pm daily,Unknown,1,1,0,Non-Networked,45.430275,-122.570132,40777,J1772,US,Public,,MUNI_GOV,No Fee
SHERWOOD,NW Washington St,Sherwood,OR,97140,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,45.3553543,-122.840126,40904,J1772,US,Public,,,No Fee
SHERWOOD,15665 SW Willamette St,Sherwood,OR,97140,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,45.3563194,-122.8388367,40905,J1772,US,Public,,,No Fee
TC Chevrolet,2045 Highway 99 N,Ashland,OR,97520,541-201-8697,Public - Call ahead,Dealership business hours,Unknown,0,3,0,Non-Networked,42.219548,-122.740005,41085,J1772,US,Public,CALL,CAR_DEALER,No Fee
HIGHLANDCHEVRON,14470 SW Allen Blvd,Beaverton,OR,97005,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.475962,-122.8255612,41758,J1772,US,Public,,,"$0.39 per hour, $0.5 per session"
Carr Nissan,3855 SW Cedar Hills Blvd,Beaverton,OR,97005,503-643-8676,Private,Unknown,Unknown,0,1,0,Non-Networked,45.491783,-122.81107,44225,J1772,US,Private,,CAR_DEALER,Unknown
Kiefer Nissan,900 NW 4th St,Corvallis,OR,97330,541-753-1694,Private,Unknown,Unknown,0,1,0,Non-Networked,44.572608,-123.258425,44228,J1772,US,Private,,CAR_DEALER,Unknown
Lithia Nissan of Eugene,2060 Martin Luther King,Eugene,OR,97401,541-686-2211,Private,Unknown,Unknown,0,1,0,Non-Networked,44.05902085,-123.0813975,44230,J1772,US,Private,,CAR_DEALER,Unknown
Dick Hannah Nissan,19505 SE McLoughlin Blvd,Gladstone,OR,97027,503-655-6519,Private,Unknown,Unknown,0,1,0,Non-Networked,45.378967,-122.603899,44233,J1772,US,Private,,CAR_DEALER,Unknown
Chuck Colvin Nissan,1925 N Highway 99W,McMinnville,OR,97128,503-472-6124,Private,Unknown,Unknown,0,1,0,Non-Networked,45.227395,-123.180863,44241,J1772,US,Private,,CAR_DEALER,Unknown
Lithia Nissan,4560 Grumman Dr,Medford,OR,97504,541-930-3025,Private,Unknown,Unknown,0,1,0,Non-Networked,42.379969,-122.858192,44243,J1772,US,Private,,CAR_DEALER,Unknown
Rustom Nissan - Portland,1212 NE 122nd Ave,Portland,OR,97230,503-251-3349,Private,Unknown,Unknown,0,1,0,Non-Networked,45.531759,-122.537403,44247,J1772,US,Private,,CAR_DEALER,Unknown
Power Nissan - Salem,2755 Mission St SE,Salem,OR,97302,503-581-3849,Private,Unknown,Unknown,0,1,0,Non-Networked,44.921582,-123.006236,44251,J1772,US,Private,,CAR_DEALER,Unknown
Tonkin Nissan,26700 SW 95th Ave,Wilsonville,OR,97070,503-222-2277,Private,Unknown,Unknown,0,3,0,Non-Networked,45.326814,-122.770853,44255,J1772,US,Private,,CAR_DEALER,Unknown
West Hills Collision Center,8300 SW Barbur Blvd,Portland,OR,97219,503-245-9030,Public,24 hours daily,Unknown,1,1,0,Non-Networked,45.464636,-122.698892,47064,J1772,US,Public,,CAR_DEALER,No Fee
Cafe Yumm! - On Broadway,730 E Broadway,Eugene,OR,97401,541-344-9866,Public,10am-9pm daily; free for restaurant patrons,Unknown,4,1,0,Non-Networked,44.049636,-123.081515,49060,J1772,US,Public,,RESTAURANT,No Fee
Fox Towers,805 SW Broadway,Portland,OR,97205,503-740-4033,Public - Credit card at all times,24 hours daily,A D M V,1,1,0,OpConnect,45.518289,-122.680882,50714,J1772,US,Public,CREDIT_CARD_ALWAYS,OFFICE_BLDG,$2.10 per hour
Bridgeport Village Parking Lot,7455 SW Bridgeport Rd,Tigard,OR,97224,503-740-4032,Public - Credit card at all times,24 hours daily,A D M V,2,2,0,OpConnect,45.39645,-122.75364,50716,J1772,US,Public,CREDIT_CARD_ALWAYS,PARKING_LOT,$2.20 per hour
Hilltop Collision Center,275 Beavercreek Rd,Oregon City,OR,97045,503-722-5885,Public,24 hours daily,Unknown,1,1,0,Non-Networked,45.333825,-122.596795,51699,J1772,US,Public,,CAR_DEALER,No Fee
Forest Service - Deschutes National Forest,63095 Deschutes Market Rd,Bend,OR,97701,Unknown,Private,USDA fleet use only,Unknown,0,0,0,Unknown,44.091036,-121.258715,52473,Unknown,US,Private,,NATL_PARK,Unknown
Forest Service - Umpqua National Forest,2010 Opportunity Ln,Glide,OR,97443,Unknown,Private,USDA fleet use only,Unknown,0,0,0,Unknown,43.236194,-122.940719,52474,Unknown,US,Private,,NATL_PARK,Unknown
TOFURKY COMPANY,602 Anchor Way,Hood River,OR,97031,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,45.7139177,-121.5166805,53039,J1772,US,Public,,,No Fee
Ocean Beaches Glassblowing & Gallery,11175 NW Pacific Coast Hwy,Seal Rock,OR,97376,541-563-8632,Public,10am-6pm daily,Unknown,0,1,0,Non-Networked,44.504993,-124.079315,53694,J1772,US,Public,,PARKING_LOT,No Fee
The Mill Casino,3201 Tremont Ave,North Bend,OR,97459,800-953-4800,Public,24 hours daily; see valet for access,Unknown,0,1,0,Non-Networked,43.393471,-124.21869,53982,J1772,US,Public,,HOTEL,$12 per session
MATISSE,0677 SW Lowell St,Portland,OR,97239,888-758-4389,Public,24 hours daily,Unknown,2,2,0,ChargePoint Network,45.494161,-122.67118,56771,J1772,US,Public,,,No Fee
SHERWOOD,15601 SW Willamette St,Sherwood,OR,97140,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,45.3564644,-122.8389893,57011,J1772,US,Public,,,No Fee
FORD_BLDG,245 S 2nd St,Coos Bay,OR,97420,888-758-4389,Public,24 hours daily,Unknown,0,1,0,ChargePoint Network,43.3665036,-124.2149934,58336,J1772,US,Public,,,"$1 per hour, minimum payment of $1, maximum payment of $5"
US BANCORP,111 SW 5th Ave,Portland,OR,97204,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.522601,-122.675927,60919,J1772,US,Public,,,"Pricing is based on length of time. $1.5 per hour for the first 4 hours, and $3 per additional hour"
US BANCORP,125 SW 4th Ave,Portland,OR,97204,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.522235,-122.674781,60943,J1772,US,Public,,,"Pricing is based on length of time. $1.5 per hour for the first 4 hours, and $3 per additional hour"
POWER NISSAN,2755 Mission St SE,Salem,OR,97301,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,44.9214737,-123.0059835,61018,CHADEMO,US,Public,,,No Fee
CITY OF BANDON,555 US-101,Bandon,OR,97411,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,43.1191336,-124.4073118,61829,J1772,US,Public,,,No Fee
SECTOR NB,2000 Connecticut St,North Bend,OR,97459,888-758-4389,Public,24 hours daily,Unknown,0,1,0,ChargePoint Network,43.4099182,-124.2416547,62138,J1772,US,Public,,,No Fee
BEND BMW,1040 SW Division St,Bend,OR,97702,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.0399406,-121.3053123,62810,J1772,US,Public,,,No Fee
Courtyard by Marriott,15686 SW Sequoia Pkwy,Tigard,OR,97224,503-684-7900,Public,24 hours daily,Unknown,0,0,1,OpConnect,45.40755,-122.746158,62982,CHADEMO,US,Public,,HOTEL,DC Fast: $6 per session
Courtyard by Marriott,15686 SW Sequoia Pkwy,Tigard,OR,97224,503-684-7900,Public,24 hours daily,Unknown,0,1,0,OpConnect,45.40755,-122.746158,62982,J1772,US,Public,,HOTEL,Level 2: $2 per hour
Courtyard by Marriott,15686 SW Sequoia Pkwy,Tigard,OR,97224,503-684-7900,Public,24 hours daily,Unknown,0,0,1,OpConnect,45.40755,-122.746158,62982,CCS,US,Public,,HOTEL,DC Fast: $6 per session
Lincoln Center - Gustav's Restaurant,10330 SW Greenburg Rd,Tigard,OR,97223,503-624-0499,Public,24 hours daily,Unknown,0,0,1,OpConnect,45.445538,-122.775984,62983,CHADEMO,US,Public,,PARKING_LOT,DC Fast: $7 per session
Lincoln Center - Gustav's Restaurant,10330 SW Greenburg Rd,Tigard,OR,97223,503-624-0499,Public,24 hours daily,Unknown,0,1,0,OpConnect,45.445538,-122.775984,62983,J1772,US,Public,,PARKING_LOT,Level 2: $2 per hour
Lincoln Center - Gustav's Restaurant,10330 SW Greenburg Rd,Tigard,OR,97223,503-624-0499,Public,24 hours daily,Unknown,0,0,1,OpConnect,45.445538,-122.775984,62983,CCS,US,Public,,PARKING_LOT,DC Fast: $7 per session
Arlington Oregon City Hall,1310 Locust Ave,Arlington,OR,97812,541-454-2636,Public,24 hours daily,Unknown,0,0,2,OpConnect,45.717607,-120.203432,62984,CHADEMO,US,Public,,MUNI_GOV,DC Fast: $10 per session
Arlington Oregon City Hall,1310 Locust Ave,Arlington,OR,97812,541-454-2636,Public,24 hours daily,Unknown,0,1,0,OpConnect,45.717607,-120.203432,62984,J1772,US,Public,,MUNI_GOV,Level 2: $2.10 per hour
Arlington Oregon City Hall,1310 Locust Ave,Arlington,OR,97812,541-454-2636,Public,24 hours daily,Unknown,0,0,2,OpConnect,45.717607,-120.203432,62984,CCS,US,Public,,MUNI_GOV,DC Fast: $10 per session
Roth's Vista Market - Vista,3045 Commercial St SE,Salem,OR,97302,503-364-8449,Public,24 hours daily,Unknown,0,0,1,OpConnect,44.910589,-123.045448,62985,CHADEMO,US,Public,,GROCERY,DC Fast: $6 per session
Roth's Vista Market - Vista,3045 Commercial St SE,Salem,OR,97302,503-364-8449,Public,24 hours daily,Unknown,0,1,0,OpConnect,44.910589,-123.045448,62985,J1772,US,Public,,GROCERY,Level 2: $2 per hour
Roth's Vista Market - Vista,3045 Commercial St SE,Salem,OR,97302,503-364-8449,Public,24 hours daily,Unknown,0,0,1,OpConnect,44.910589,-123.045448,62985,CCS,US,Public,,GROCERY,DC Fast: $6 per session
Suburban Ford,37000 Highway 26,Sandy,OR,97055,Unknown,Private,Service center use only,Unknown,0,2,0,Non-Networked,45.400895,-122.281716,63646,J1772,US,Private,,CAR_DEALER,Unknown
UOP CHARGE,N Mocks Landing Rd,Portland,OR,97203,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.5730163,-122.7266589,64106,J1772,US,Public,,,"$3 per hour, maximum payment of $100"
ARMSTRONG VW,20000 McLoughlin Blvd,Gladstone,OR,97027,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.3763171,-122.6009988,64115,J1772,US,Public,,,No Fee
Banks - Jim's Thriftway,660 Main Street,Banks,OR,97106,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,45.61006,-123.11286,65854,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Central Point - Fairground Chevron,1510 East Pine St,Central Point,OR,97497,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.378367,-122.900702,65855,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Central Point - Fairground Chevron,1510 East Pine St,Central Point,OR,97497,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.378367,-122.900702,65855,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Roseburg - Wagon Wheel Restaurant,227 NW Garden Valley RD,Roseburg,OR,97470,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,43.226684,-123.355712,65856,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Roseburg - Wagon Wheel Restaurant,227 NW Garden Valley RD,Roseburg,OR,97470,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,43.226684,-123.355712,65856,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Ashland - Shell,2373 Ashland Street,Ashland,OR,97520,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.185555,-122.668761,65857,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Ashland - Shell,2373 Ashland Street,Ashland,OR,97520,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.185555,-122.668761,65857,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Wolf Creek - Wolf Creek Inn,100 Front Street,Wolf Creek,OR,97497,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.695946,-123.395956,65858,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Wolf Creek - Wolf Creek Inn,100 Front Street,Wolf Creek,OR,97497,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.695946,-123.395956,65858,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Springfield - Gateway Marketplace,840 Beltline Road,Springfield,OR,97477,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,44.084422,-123.039829,65863,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Springfield - Gateway Marketplace,840 Beltline Road,Springfield,OR,97477,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,44.084422,-123.039829,65863,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Newport - City of Newport Public Parking Lot,925 Southwest Hurbert Street,Newport,OR,97365,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,44.632443,-124.055347,65867,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Newport - City of Newport Public Parking Lot,925 Southwest Hurbert Street,Newport,OR,97365,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,44.632443,-124.055347,65867,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Oakland - Motel 6,621 John Long Road,Oakland,OR,97462,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,43.537046,-123.290133,65871,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Oakland - Motel 6,621 John Long Road,Oakland,OR,97462,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,43.537046,-123.290133,65871,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Canyonville - 7 Feathers Truck and Travel Center,130 Creekside Rd,Canyonville,OR,97417,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.940681,-123.290092,65872,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Canyonville - 7 Feathers Truck and Travel Center,130 Creekside Rd,Canyonville,OR,97417,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.940681,-123.290092,65872,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Public Parking Lot,3640 NE Martin Luther King Junior Blvd,Portland,OR,97212,855-885-9571,Public,24 hours daily,Unknown,0,1,0,OpConnect,45.54913,-122.66145,65927,J1772,US,Public,,PARKING_LOT,$2.10 per hour
Cafe Yumm! - Argyle Square,8689 SW Robert Burns Dr,Wilsonville,OR,97070,503-638-9866,Public,11am-9pm daily; free for restaurant patrons,Unknown,0,2,0,Non-Networked,45.334986,-122.766691,65944,J1772,US,Public,,RESTAURANT,No Fee
OSU,2900 SW Campus Way,Corvallis,OR,97331,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.5662954,-123.283836,66525,J1772,US,Public,,,$0.2 per kWh
WV EV STATION 1,12705 SE River Rd,Milwaukie,OR,97222,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.4302556,-122.6451064,66600,J1772,US,Public,,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3 per additional hour"
RIVERPLACE,295 Deann Drive,Independence,OR,97351,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.8652316,-123.1833087,67164,J1772,US,Public,,,$1 per hour
Laurel Ridge Winery,13301 NE Kuelene Rd,Carlton,OR,97111,503-852-7050,Public,11am-5pm daily,Unknown,0,2,0,Non-Networked,45.313977,-123.100942,69732,J1772,US,Public,,RESTAURANT,No Fee
VW OF SALEM,3415 Del Webb Ave NE,Salem,OR,97301,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.9737515,-123.0183122,69805,J1772,US,Public,,,No Fee
OSU,220 SW 26th St,Corvallis,OR,97331,888-758-4389,Public,24 hours daily,Unknown,0,1,0,ChargePoint Network,44.5648756,-123.2805607,71288,J1772,US,Public,,,$0.2 per kWh
Tri-Met - Oregon Park Ave Park N Ride,2750 SE Park Ave,Portland,OR,97222,855-885-9571,Public - Credit card at all times,24 hours daily,D M V,0,2,0,OpConnect,45.429959,-122.635055,71432,J1772,US,Public,CREDIT_CARD_ALWAYS,PARKING_GARAGE,$1.50 per hour
FRED MEYER,1307 Center Dr,Medford,OR,97501,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,42.3138929,-122.855354,71851,CCS,US,Public,,,$0.15 per kWh
FRED MEYER,1101 Grants Pass Pkwy,Grants Pass,OR,97526,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,42.4351199,-123.3065071,71852,CCS,US,Public,,,$0.15 per kWh
FRED MEYER,929 NW Garden Valley Blvd,Roseburg,OR,97471,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,43.228342,-123.368717,71917,CCS,US,Public,,,$0.15 per kWh
MFR AIRPORT,600 Airport Rd,Medford,OR,97504,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,42.3682852,-122.8753294,71924,J1772,US,Public,,,No Fee
LLOYD CENTER,2252 Lloyd Center,Portland,OR,97232,888-758-4389,Public,24 hours daily,Unknown,0,0,2,ChargePoint Network,45.5319736,-122.6528221,72279,CHADEMO,US,Public,,,"$0.04 per hour, $0.2 per kWh"
LLOYD CENTER,2252 Lloyd Center,Portland,OR,97232,888-758-4389,Public,24 hours daily,Unknown,0,0,2,ChargePoint Network,45.5319736,-122.6528221,72279,CCS,US,Public,,,"$0.04 per hour, $0.2 per kWh"
FRED MEYER,2500 Santiam Hwy SE,Albany,OR,97322,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,44.6312872,-123.0762962,72280,CCS,US,Public,,,$0.15 per kWh
JF5 Station B,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54134069,-122.9625138,72832,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF5 Station A,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54135854,-122.962601,72838,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF3 Station A,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54496114,-122.9589203,72885,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
RA2 Station G,2501  NW 229th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54600963,-122.911691,72896,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF5 Station E,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54135102,-122.9622336,72898,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF3 Station D,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54507993,-122.9590283,72899,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF3 Station E,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54511562,-122.9590712,72901,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF5 Station D,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.5413529,-122.9623623,72905,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF3 Station B,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54501114,-122.9589703,72908,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF5 Station F,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54135666,-122.9622979,72920,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
JF3 Station C,2111  NE 25th Ave,Hillsboro,OR,97124,855-443-3873,Private,Unknown,Unknown,0,1,0,GE WattStation,45.54505363,-122.9590095,72924,J1772,US,Private,,,"$0.08 per kWh, first 5 minutes free, minimum payment of $0.50"
